r,method,conv
Argentina,LM,TRUE
Argentina,NM,TRUE
Argentina,Nelder-Mead,TRUE
Argentina,PORT,TRUE
Argentina,Newton,TRUE
Argentina,CG,FALSE
Argentina,L-BFGS-B,TRUE
Australia and New Zealand,LM,TRUE
Australia and New Zealand,NM,TRUE
Australia and New Zealand,Nelder-Mead,TRUE
Australia and New Zealand,PORT,FALSE
Australia and New Zealand,Newton,TRUE
Australia and New Zealand,CG,FALSE
Australia and New Zealand,L-BFGS-B,TRUE
Brazil,LM,FALSE
Brazil,NM,TRUE
Brazil,Nelder-Mead,TRUE
Brazil,PORT,TRUE
Brazil,Newton,TRUE
Brazil,CG,FALSE
Brazil,L-BFGS-B,TRUE
Canada,LM,TRUE
Canada,NM,TRUE
Canada,Nelder-Mead,TRUE
Canada,PORT,TRUE
Canada,Newton,TRUE
Canada,CG,FALSE
Canada,L-BFGS-B,TRUE
Caribbean Extended,LM,TRUE
Caribbean Extended,NM,TRUE
Caribbean Extended,Nelder-Mead,TRUE
Caribbean Extended,PORT,FALSE
Caribbean Extended,Newton,TRUE
Caribbean Extended,CG,FALSE
Caribbean Extended,L-BFGS-B,TRUE
Central America,LM,TRUE
Central America,NM,TRUE
Central America,Nelder-Mead,TRUE
Central America,PORT,TRUE
Central America,Newton,TRUE
Central America,CG,FALSE
Central America,L-BFGS-B,TRUE
Central Asia Extended,LM,FALSE
Central Asia Extended,NM,TRUE
Central Asia Extended,Nelder-Mead,TRUE
Central Asia Extended,PORT,FALSE
Central Asia Extended,Newton,TRUE
Central Asia Extended,CG,FALSE
Central Asia Extended,L-BFGS-B,TRUE
Chile,LM,TRUE
Chile,NM,TRUE
Chile,Nelder-Mead,TRUE
Chile,PORT,TRUE
Chile,Newton,TRUE
Chile,CG,FALSE
Chile,L-BFGS-B,TRUE
China,LM,FALSE
China,NM,TRUE
China,Nelder-Mead,TRUE
China,PORT,FALSE
China,Newton,TRUE
China,CG,FALSE
China,L-BFGS-B,TRUE
Eastern Africa,LM,TRUE
Eastern Africa,NM,TRUE
Eastern Africa,Nelder-Mead,TRUE
Eastern Africa,PORT,TRUE
Eastern Africa,Newton,TRUE
Eastern Africa,CG,FALSE
Eastern Africa,L-BFGS-B,TRUE
EU27,LM,FALSE
EU27,NM,TRUE
EU27,Nelder-Mead,TRUE
EU27,PORT,FALSE
EU27,Newton,TRUE
EU27,CG,FALSE
EU27,L-BFGS-B,TRUE
India,LM,TRUE
India,NM,TRUE
India,Nelder-Mead,TRUE
India,PORT,FALSE
India,Newton,TRUE
India,CG,FALSE
India,L-BFGS-B,TRUE
Japan,LM,TRUE
Japan,NM,TRUE
Japan,Nelder-Mead,TRUE
Japan,PORT,FALSE
Japan,Newton,TRUE
Japan,CG,FALSE
Japan,L-BFGS-B,TRUE
Levant,LM,FALSE
